File,Class Name,Line Number,Type,Status,Notes
Frontend/src/App.vue,.test-class,51,UNUSED,REMOVE,"Orphaned test/debug class - no template usage"
Frontend/src/components/SearchBar.vue,.browse-all-btn,85,UNUSED,REMOVE,"Defined but never used in template - leftover from refactoring"
Frontend/src/views/HomeView.vue,.mobile-slogan,64,DUPLICATE,CONSOLIDATE,"Duplicates HeroSection component styles - consolidate into component"
Frontend/src/views/HomeView.vue,.arrow-down,145,DUPLICATE,REMOVE,"Duplicated from ArrowsFooter component - use component instead"
Frontend/src/views/HomeView.vue,.arrow-icon,153,DUPLICATE,REMOVE,"Duplicated from ArrowsFooter component - use component instead"
Frontend/src/views/HomeView.vue,.about-section,180,DUPLICATE,REMOVE,"Duplicated from AboutSection component - use component instead"
Frontend/src/views/MyTripsView.vue,.fadeInHint,720,UNUSED,REMOVE,"Animation keyframe defined but never applied"
Frontend/src/components/PasswordStrengthIndicator.vue,.strength-excellent,22,DYNAMIC,KEEP,"Applied dynamically via getPasswordStrengthColor() method"
Frontend/src/components/PasswordStrengthIndicator.vue,.strength-good,27,DYNAMIC,KEEP,"Applied dynamically via getPasswordStrengthColor() method"
Frontend/src/components/PasswordStrengthIndicator.vue,.strength-medium,32,DYNAMIC,KEEP,"Applied dynamically via getPasswordStrengthColor() method"
Frontend/src/components/PasswordStrengthIndicator.vue,.strength-weak,37,DYNAMIC,KEEP,"Applied dynamically via getPasswordStrengthColor() method"
Frontend/src/components/PasswordStrengthIndicator.vue,.strength-very-weak,42,DYNAMIC,KEEP,"Applied dynamically via getPasswordStrengthColor() method"
Frontend/src/components/PasswordStrengthIndicator.vue,.strength-invalid,47,DYNAMIC,KEEP,"Applied dynamically via getPasswordStrengthColor() method"
